Date,LowRangeSpC,FullRangeSpC,Temp
2022-10-03 13:00,554.9,552.9,75.97
2022-10-03 14:00,555.8,553.6,76.12
2022-10-03 15:00,554.2,551.7,75.85
2022-10-03 16:00,551.8,549.1,75.45
2022-10-03 17:00,549.9,547.6,75.13
2022-10-03 18:00,547.6,545.3,74.8
2022-10-03 19:00,546.1,543.7,74.55
2022-10-03 20:00,544.6,542.2,74.34
2022-10-03 21:00,543.5,541.5,74.17
2022-10-03 22:00,542.6,540.7,74.08
2022-10-03 23:00,542.1,540.3,74.01
2022-10-04 00:00,541.9,539.9,73.96
2022-10-04 01:00,541.3,539.2,73.92
2022-10-04 02:00,540.9,538.8,73.85
2022-10-04 03:00,540.7,538.4,73.78
2022-10-04 04:00,540.3,538,73.74
2022-10-04 05:00,539.9,538,73.69
2022-10-04 06:00,539.8,537.6,73.69
2022-10-04 07:00,539.4,537.2,73.63
2022-10-04 08:00,540.4,538,73.78
2022-10-04 09:00,542.1,540.3,74.05
2022-10-04 10:00,544.7,542.2,74.5
2022-10-04 11:00,548.3,546,75.04
2022-10-04 12:00,551.5,549,75.52
2022-10-04 13:00,552.7,550.6,75.78
2022-10-04 14:00,552.5,550.2,75.72
2022-10-04 15:00,551.2,549,75.49
2022-10-04 16:00,549.7,547.5,75.24
2022-10-04 17:00,548.1,545.6,75.02
2022-10-04 18:00,546.7,544.1,74.75
2022-10-04 19:00,545.1,542.6,74.5
2022-10-04 20:00,543.8,541.4,74.34
2022-10-04 21:00,543.1,541.1,74.19
2022-10-04 22:00,542.2,540.3,74.08
2022-10-04 23:00,541,538.8,73.89
2022-10-05 00:00,540.4,538,73.8
2022-10-05 01:00,539.6,537.6,73.67
2022-10-05 02:00,538.9,536.9,73.54
2022-10-05 03:00,537.9,536.1,73.44
2022-10-05 04:00,537.6,535.3,73.36
2022-10-05 05:00,537.3,534.9,73.29
2022-10-05 06:00,536.6,534.2,73.24
2022-10-05 07:00,536.8,534.6,73.24
2022-10-05 08:00,537.3,535.3,73.33
2022-10-05 09:00,539.6,537.2,73.67
2022-10-05 10:00,543.8,541.4,74.34
2022-10-05 11:00,548.1,546,75.02
2022-10-05 12:00,551.8,549.4,75.6
2022-10-05 13:00,554.5,551.7,75.97
2022-10-05 14:00,555.3,553.2,76.15
2022-10-05 15:00,555.4,553.3,76.06
2022-10-05 16:00,553.3,551,75.74
2022-10-05 17:00,550.9,548.3,75.34
2022-10-05 18:00,548.6,546.4,74.97
2022-10-05 19:00,546.5,544.1,74.68
2022-10-05 20:00,545.2,542.6,74.44
2022-10-05 21:00,544.3,542.2,74.28
2022-10-05 22:00,543.6,541.5,74.21
2022-10-05 23:00,542.9,540.3,74.12
2022-10-06 00:00,542.2,540.3,74.01
2022-10-06 01:00,541.1,538.8,73.89
