"TOA5","RovingBox","CR1000","84402","CR1000.Std.31","CPU:AllenMill_09202023_hourly.CR1","15751","Test"
"TIMESTAMP","RECORD","BattV_Min","PTemp_C","pH","CO2","cDOM"
"TS","RN","Volts","Deg C","","ppm","ppbQS"
"","","Min","Smp","Smp","Smp","Smp"
"2023-09-20 13:00:00",0,13.03,32.04,"NAN",312.4748,54.28825
"2023-09-20 14:00:00",1,12.98,32.08,8.9764,3255.624,51.94216
"2023-09-20 15:00:00",2,12.98,31.33,9.0928,3641.718,49.36369
"2023-09-20 16:00:00",3,12.97,30.46,9.0734,4016.361,46.6516
"2023-09-20 17:00:00",4,12.97,29.42,9.054001,4449.898,41.46925
"2023-09-20 18:00:00",5,12.97,28.33,9.015201,4968.508,38.72372
"2023-09-20 19:00:00",6,12.96,27.06,8.9764,5534.561,36.63775
"2023-09-20 20:00:00",7,12.95,26.25,8.957001,6077.71,35.24478
"2023-09-20 21:00:00",8,12.94,25.89,8.9376,6534.152,33.25835
"2023-09-20 22:00:00",9,12.93,25.49,8.9182,6933.334,31.60044
"2023-09-20 23:00:00",10,12.93,24.92,8.9182,7234.357,30.42536
"2023-09-21 00:00:00",11,12.92,24.45,8.898801,7427.404,29.77634
"2023-09-21 01:00:00",12,12.92,24.07,8.898801,7595.911,29.00655
"2023-09-21 02:00:00",13,12.92,23.64,8.898801,7715.338,28.58633
"2023-09-21 03:00:00",14,12.91,23.15,8.898801,7838.038,27.8795
"2023-09-21 04:00:00",15,12.9,22.7,8.898801,7923.109,27.31084
"2023-09-21 05:00:00",16,12.9,22.33,8.898801,7885.481,27.04921
"2023-09-21 06:00:00",17,12.89,22.03,8.898801,7813.498,26.74981
"2023-09-21 07:00:00",18,12.89,21.75,8.898801,7800.41,26.39263
"2023-09-21 08:00:00",19,12.89,22.47,8.898801,7741.514,26.16608
"2023-09-21 09:00:00",20,12.89,25.49,8.898801,7319.428,26.02769
"2023-09-21 10:00:00",21,12.89,27.69,8.9376,6885.891,26.13553
"2023-09-21 11:00:00",22,12.91,33.17,8.957001,6571.78,25.76566
"2023-09-21 12:00:00",23,12.91,30.95,9.015201,6185.686,25.56443
"2023-09-21 13:00:00",24,12.91,31.4,9.0346,5631.084,25.7103
"2023-09-21 14:00:00",25,12.92,34.04,9.0928,5184.459,26.22093
"2023-09-21 15:00:00",26,12.92,32.66,9.112201,4857.26,26.33665
"2023-09-21 16:00:00",27,12.92,32.48,9.0928,4736.197,26.30899
"2023-09-21 17:00:00",28,12.91,29.78,9.054001,4991.412,26.22104
"2023-09-21 18:00:00",29,12.91,28.69,9.015201,5438.038,26.34444
"2023-09-21 19:00:00",30,12.9,27.47,8.9764,6125.154,26.27166
"2023-09-21 20:00:00",31,12.89,26.37,8.957001,6691.208,26.49053
"2023-09-21 21:00:00",32,12.89,25.73,8.9182,7088.753,26.53087
"2023-09-21 22:00:00",33,12.88,25.07,8.9182,7414.316,26.45296
"2023-09-21 23:00:00",34,12.87,24.33,8.9182,7631.903,26.5184
"2023-09-22 00:00:00",35,12.87,23.7,8.9182,7764.418,26.72718
