"Plot Title: AllenMill_DO"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 21446090, SEN S/N: 21446090)","Temp, °F (LGR S/N: 21446090, SEN S/N: 21446090)"
1,05/04/23 12:00:00 PM,8.33,73.87
2,05/04/23 01:00:00 PM,8.67,74.84
3,05/04/23 02:00:00 PM,8.28,74.59
4,05/04/23 03:00:00 PM,7.80,73.65
5,05/04/23 04:00:00 PM,7.03,72.82
6,05/04/23 05:00:00 PM,6.40,71.96
7,05/04/23 06:00:00 PM,5.94,71.38
8,05/04/23 07:00:00 PM,5.59,70.99
9,05/04/23 08:00:00 PM,5.15,70.59
10,05/04/23 09:00:00 PM,4.99,70.23
11,05/04/23 10:00:00 PM,5.03,70.02
12,05/04/23 11:00:00 PM,5.08,69.80
13,05/05/23 12:00:00 AM,5.14,69.66
14,05/05/23 01:00:00 AM,5.15,69.55
15,05/05/23 02:00:00 AM,5.18,69.44
16,05/05/23 03:00:00 AM,5.21,69.37
17,05/05/23 04:00:00 AM,5.23,69.33
18,05/05/23 05:00:00 AM,5.26,69.30
19,05/05/23 06:00:00 AM,5.29,69.26
20,05/05/23 07:00:00 AM,5.48,69.40
21,05/05/23 08:00:00 AM,6.02,69.87
22,05/05/23 09:00:00 AM,6.65,70.74
23,05/05/23 10:00:00 AM,7.08,71.60
24,05/05/23 11:00:00 AM,7.94,72.68
25,05/05/23 12:00:00 PM,8.78,73.69
26,05/05/23 01:00:00 PM,8.96,73.76
27,05/05/23 02:00:00 PM,8.79,73.76
28,05/05/23 03:00:00 PM,7.72,72.75
29,05/05/23 04:00:00 PM,7.76,72.50
30,05/05/23 05:00:00 PM,7.28,72.10
31,05/05/23 06:00:00 PM,6.58,71.74
32,05/05/23 07:00:00 PM,5.84,71.38
33,05/05/23 08:00:00 PM,5.27,70.99
34,05/05/23 09:00:00 PM,5.01,70.70
35,05/05/23 10:00:00 PM,4.99,70.52
36,05/05/23 11:00:00 PM,5.00,70.45
37,05/06/23 12:00:00 AM,5.04,70.30
38,05/06/23 01:00:00 AM,5.04,70.30
