Date,ID,VentDO,VentTemp
1/3/2023,AM,1.5,22.22
1/3/2023,AM,1.5,22.22
1/18/2023,AM,1.097,21.94
1/18/2023,AM,1.097,21.94
2/15/2023,AM,1.288,21.9
2/15/2023,AM,1.288,21.9
3/29/2023,AM,1.26,21.9
3/29/2023,AM,1.26,21.9
12/5/2022,AM,0.975,22.19
12/5/2022,AM,0.975,22.19
12/19/2022,AM,1.42,22.19
12/19/2022,AM,1.42,22.19
1/3/2023,GB,6.25,22.53
1/3/2023,GB,6.25,22.53
1/18/2023,GB,4.8,22.88
1/18/2023,GB,4.8,22.88
3/1/2023,GB,5.58,22.88
3/1/2023,GB,5.58,22.88
3/15/2023,GB,4.685,22.49
4/26/2023,GB,4.685,22.49
10/24/2022,GB,4.6,22.73
1/4/2023,LF,1.76,23.57
1/4/2023,LF,1.76,23.57
1/11/2023,LF,1.83,22.94
1/11/2023,LF,1.83,22.94
3/8/2023,LF,1.93,23.57
3/8/2023,LF,1.93,23.57
4/5/2023,LF,1.53,22.08
4/5/2023,LF,1.53,22.08
4/19/2023,LF,1.704,22.93
4/19/2023,LF,1.704,22.93
5/30/2023,LF,1.628292683,23.16
10/31/2022,LF,1.78,23.02
10/31/2022,LF,1.78,23.02
